,Voltage,l,lf,lg,li,w,wf,wg,wi
615,2V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
616,2V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
617,2V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
618,2V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
619,2V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
620,2V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
621,2V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
622,3V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
623,3V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
624,3V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
625,3V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
626,3V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
627,3V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
628,3V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
629,3V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
630,3V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
631,4V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
632,4V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
633,4V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
634,4V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
635,4V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
636,4V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
637,4V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
638,4V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
639,4V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
640,5V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
641,5V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
642,5V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
643,5V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
644,5V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
645,5V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
646,5V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
647,5V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
648,5V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
1189,0V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
1190,0V,28mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
1191,0V,28mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
1192,0V,28mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
