"l [mm]","Voltage [V]","w [mm]","Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
25,0,28,1.8,-0.19422663614817
25,0,28,1.82,-0.19928126848627
25,0,28,1.84,-0.204484776581666
25,0,28,1.86,-0.209846175277236
25,0,28,1.88,-0.215375156498298
25,0,28,1.9,-0.221082203411165
25,0,28,1.92,-0.2269787241135
25,0,28,1.94,-0.233077208858261
25,0,28,1.96,-0.239391415730932
25,0,28,1.98,-0.245936590860322
25,0,28,2,-0.252729730717977
25,0,28,2.02,-0.259789895946636
25,0,28,2.04,-0.267138588582594
25,0,28,2.06,-0.274800207674959
25,0,28,2.08,-0.282802602393488
25,0,28,2.1,-0.29117774708224
25,0,28,2.12,-0.299962569809898
25,0,28,2.14,-0.309199975419763
25,0,28,2.16,-0.318940116782643
25,0,28,2.18,-0.329241985170243
25,0,28,2.2,-0.340175414217657
25,0,28,2.22,-0.351823624481192
25,0,28,2.24,-0.364286481022635
25,0,28,2.26,-0.377684700571463
25,0,28,2.28,-0.39216533639645
25,0,28,2.3,-0.407909001459599
25,0,28,2.32,-0.425139484520842
25,0,28,2.34,-0.444136702359859
25,0,28,2.36,-0.46525436659218
25,0,28,2.38,-0.488944410970649
25,0,28,2.4,-0.515791265823599
25,0,28,2.42,-0.546560718543036
25,0,28,2.44,-0.582270771775315
25,0,28,2.46,-0.624296319247698
25,0,28,2.48,-0.674526874175223
25,0,28,2.5,-0.735609296775971
25,0,28,2.52,-0.811329623655996
25,0,28,2.54,-0.907227133420276
25,0,28,2.56,-1.03160232198123
25,0,28,2.58,-1.19719640016204
25,0,28,2.6,-1.42399038436092
25,0,28,2.62,-1.74369035880378
25,0,28,2.64,-2.20579656554053
25,0,28,2.66,-2.88003249144721
25,0,28,2.68,-3.82551417095236
25,0,28,2.7,-4.92306643783675
25,0,28,2.72,-5.53294936572983
25,0,28,2.74,-4.9921863319047
25,0,28,2.76,-3.84872010245533
25,0,28,2.78,-2.8359377613994
25,0,28,2.8,-2.12316157265581
25,1,28,1.8,-0.19422663614817
25,1,28,1.82,-0.19928126848627
25,1,28,1.84,-0.204484776581666
25,1,28,1.86,-0.209846175277236
25,1,28,1.88,-0.215375156498298
25,1,28,1.9,-0.221082203411165
25,1,28,1.92,-0.2269787241135
25,1,28,1.94,-0.233077208858261
25,1,28,1.96,-0.239391415730932
25,1,28,1.98,-0.245936590860322
25,1,28,2,-0.252729730717977
25,1,28,2.02,-0.259789895946636
25,1,28,2.04,-0.267138588582594
25,1,28,2.06,-0.274800207674959
25,1,28,2.08,-0.282802602393488
25,1,28,2.1,-0.29117774708224
25,1,28,2.12,-0.299962569809898
25,1,28,2.14,-0.309199975419763
25,1,28,2.16,-0.318940116782643
25,1,28,2.18,-0.329241985170243
25,1,28,2.2,-0.340175414217657
25,1,28,2.22,-0.351823624481192
25,1,28,2.24,-0.364286481022635
25,1,28,2.26,-0.377684700571463
25,1,28,2.28,-0.39216533639645
25,1,28,2.3,-0.407909001459599
25,1,28,2.32,-0.425139484520842
25,1,28,2.34,-0.444136702359859
25,1,28,2.36,-0.46525436659218
25,1,28,2.38,-0.488944410970649
25,1,28,2.4,-0.515791265823599
25,1,28,2.42,-0.546560718543036
25,1,28,2.44,-0.582270771775315
25,1,28,2.46,-0.624296319247698
25,1,28,2.48,-0.674526874175223
25,1,28,2.5,-0.735609296775971
25,1,28,2.52,-0.811329623655996
25,1,28,2.54,-0.907227133420276
25,1,28,2.56,-1.03160232198123
25,1,28,2.58,-1.19719640016204
25,1,28,2.6,-1.42399038436092
25,1,28,2.62,-1.74369035880378
25,1,28,2.64,-2.20579656554053
25,1,28,2.66,-2.88003249144721
25,1,28,2.68,-3.82551417095236
25,1,28,2.7,-4.92306643783675
25,1,28,2.72,-5.53294936572983
25,1,28,2.74,-4.9921863319047
25,1,28,2.76,-3.84872010245533
25,1,28,2.78,-2.8359377613994
25,1,28,2.8,-2.12316157265581
25,2,28,1.8,-0.19422663614817
25,2,28,1.82,-0.19928126848627
25,2,28,1.84,-0.204484776581666
25,2,28,1.86,-0.209846175277236
25,2,28,1.88,-0.215375156498298
25,2,28,1.9,-0.221082203411165
25,2,28,1.92,-0.2269787241135
25,2,28,1.94,-0.233077208858261
25,2,28,1.96,-0.239391415730932
25,2,28,1.98,-0.245936590860322
25,2,28,2,-0.252729730717977
25,2,28,2.02,-0.259789895946636
25,2,28,2.04,-0.267138588582594
25,2,28,2.06,-0.274800207674959
25,2,28,2.08,-0.282802602393488
25,2,28,2.1,-0.29117774708224
25,2,28,2.12,-0.299962569809898
25,2,28,2.14,-0.309199975419763
25,2,28,2.16,-0.318940116782643
25,2,28,2.18,-0.329241985170243
25,2,28,2.2,-0.340175414217657
25,2,28,2.22,-0.351823624481192
25,2,28,2.24,-0.364286481022635
25,2,28,2.26,-0.377684700571463
25,2,28,2.28,-0.39216533639645
25,2,28,2.3,-0.407909001459599
25,2,28,2.32,-0.425139484520842
25,2,28,2.34,-0.444136702359859
25,2,28,2.36,-0.46525436659218
25,2,28,2.38,-0.488944410970649
25,2,28,2.4,-0.515791265823599
25,2,28,2.42,-0.546560718543036
25,2,28,2.44,-0.582270771775315
25,2,28,2.46,-0.624296319247698
25,2,28,2.48,-0.674526874175223
25,2,28,2.5,-0.735609296775971
25,2,28,2.52,-0.811329623655996
25,2,28,2.54,-0.907227133420276
25,2,28,2.56,-1.03160232198123
25,2,28,2.58,-1.19719640016204
25,2,28,2.6,-1.42399038436092
25,2,28,2.62,-1.74369035880378
25,2,28,2.64,-2.20579656554053
25,2,28,2.66,-2.88003249144721
25,2,28,2.68,-3.82551417095236
25,2,28,2.7,-4.92306643783675
25,2,28,2.72,-5.53294936572983
25,2,28,2.74,-4.9921863319047
25,2,28,2.76,-3.84872010245533
25,2,28,2.78,-2.8359377613994
25,2,28,2.8,-2.12316157265581
25,3,28,1.8,-0.19422663614817
25,3,28,1.82,-0.19928126848627
25,3,28,1.84,-0.204484776581666
25,3,28,1.86,-0.209846175277236
25,3,28,1.88,-0.215375156498298
25,3,28,1.9,-0.221082203411165
25,3,28,1.92,-0.2269787241135
25,3,28,1.94,-0.233077208858261
25,3,28,1.96,-0.239391415730932
25,3,28,1.98,-0.245936590860322
25,3,28,2,-0.252729730717977
25,3,28,2.02,-0.259789895946636
25,3,28,2.04,-0.267138588582594
25,3,28,2.06,-0.274800207674959
25,3,28,2.08,-0.282802602393488
25,3,28,2.1,-0.29117774708224
25,3,28,2.12,-0.299962569809898
25,3,28,2.14,-0.309199975419763
25,3,28,2.16,-0.318940116782643
25,3,28,2.18,-0.329241985170243
25,3,28,2.2,-0.340175414217657
25,3,28,2.22,-0.351823624481192
25,3,28,2.24,-0.364286481022635
25,3,28,2.26,-0.377684700571463
25,3,28,2.28,-0.39216533639645
25,3,28,2.3,-0.407909001459599
25,3,28,2.32,-0.425139484520842
25,3,28,2.34,-0.444136702359859
25,3,28,2.36,-0.46525436659218
25,3,28,2.38,-0.488944410970649
25,3,28,2.4,-0.515791265823599
25,3,28,2.42,-0.546560718543036
25,3,28,2.44,-0.582270771775315
25,3,28,2.46,-0.624296319247698
25,3,28,2.48,-0.674526874175223
25,3,28,2.5,-0.735609296775971
25,3,28,2.52,-0.811329623655996
25,3,28,2.54,-0.907227133420276
25,3,28,2.56,-1.03160232198123
25,3,28,2.58,-1.19719640016204
25,3,28,2.6,-1.42399038436092
25,3,28,2.62,-1.74369035880378
25,3,28,2.64,-2.20579656554053
25,3,28,2.66,-2.88003249144721
25,3,28,2.68,-3.82551417095236
25,3,28,2.7,-4.92306643783675
25,3,28,2.72,-5.53294936572983
25,3,28,2.74,-4.9921863319047
25,3,28,2.76,-3.84872010245533
25,3,28,2.78,-2.8359377613994
25,3,28,2.8,-2.12316157265581
25,4,28,1.8,-0.19422663614817
25,4,28,1.82,-0.19928126848627
25,4,28,1.84,-0.204484776581666
25,4,28,1.86,-0.209846175277236
25,4,28,1.88,-0.215375156498298
25,4,28,1.9,-0.221082203411165
25,4,28,1.92,-0.2269787241135
25,4,28,1.94,-0.233077208858261
25,4,28,1.96,-0.239391415730932
25,4,28,1.98,-0.245936590860322
25,4,28,2,-0.252729730717977
25,4,28,2.02,-0.259789895946636
25,4,28,2.04,-0.267138588582594
25,4,28,2.06,-0.274800207674959
25,4,28,2.08,-0.282802602393488
25,4,28,2.1,-0.29117774708224
25,4,28,2.12,-0.299962569809898
25,4,28,2.14,-0.309199975419763
25,4,28,2.16,-0.318940116782643
25,4,28,2.18,-0.329241985170243
25,4,28,2.2,-0.340175414217657
25,4,28,2.22,-0.351823624481192
25,4,28,2.24,-0.364286481022635
25,4,28,2.26,-0.377684700571463
25,4,28,2.28,-0.39216533639645
25,4,28,2.3,-0.407909001459599
25,4,28,2.32,-0.425139484520842
25,4,28,2.34,-0.444136702359859
25,4,28,2.36,-0.46525436659218
25,4,28,2.38,-0.488944410970649
25,4,28,2.4,-0.515791265823599
25,4,28,2.42,-0.546560718543036
25,4,28,2.44,-0.582270771775315
25,4,28,2.46,-0.624296319247698
25,4,28,2.48,-0.674526874175223
25,4,28,2.5,-0.735609296775971
25,4,28,2.52,-0.811329623655996
25,4,28,2.54,-0.907227133420276
25,4,28,2.56,-1.03160232198123
25,4,28,2.58,-1.19719640016204
25,4,28,2.6,-1.42399038436092
25,4,28,2.62,-1.74369035880378
25,4,28,2.64,-2.20579656554053
25,4,28,2.66,-2.88003249144721
25,4,28,2.68,-3.82551417095236
25,4,28,2.7,-4.92306643783675
25,4,28,2.72,-5.53294936572983
25,4,28,2.74,-4.9921863319047
25,4,28,2.76,-3.84872010245533
25,4,28,2.78,-2.8359377613994
25,4,28,2.8,-2.12316157265581
25,5,28,1.8,-0.19422663614817
25,5,28,1.82,-0.19928126848627
25,5,28,1.84,-0.204484776581666
25,5,28,1.86,-0.209846175277236
25,5,28,1.88,-0.215375156498298
25,5,28,1.9,-0.221082203411165
25,5,28,1.92,-0.2269787241135
25,5,28,1.94,-0.233077208858261
25,5,28,1.96,-0.239391415730932
25,5,28,1.98,-0.245936590860322
25,5,28,2,-0.252729730717977
25,5,28,2.02,-0.259789895946636
25,5,28,2.04,-0.267138588582594
25,5,28,2.06,-0.274800207674959
25,5,28,2.08,-0.282802602393488
25,5,28,2.1,-0.29117774708224
25,5,28,2.12,-0.299962569809898
25,5,28,2.14,-0.309199975419763
25,5,28,2.16,-0.318940116782643
25,5,28,2.18,-0.329241985170243
25,5,28,2.2,-0.340175414217657
25,5,28,2.22,-0.351823624481192
25,5,28,2.24,-0.364286481022635
25,5,28,2.26,-0.377684700571463
25,5,28,2.28,-0.39216533639645
25,5,28,2.3,-0.407909001459599
25,5,28,2.32,-0.425139484520842
25,5,28,2.34,-0.444136702359859
25,5,28,2.36,-0.46525436659218
25,5,28,2.38,-0.488944410970649
25,5,28,2.4,-0.515791265823599
25,5,28,2.42,-0.546560718543036
25,5,28,2.44,-0.582270771775315
25,5,28,2.46,-0.624296319247698
25,5,28,2.48,-0.674526874175223
25,5,28,2.5,-0.735609296775971
25,5,28,2.52,-0.811329623655996
25,5,28,2.54,-0.907227133420276
25,5,28,2.56,-1.03160232198123
25,5,28,2.58,-1.19719640016204
25,5,28,2.6,-1.42399038436092
25,5,28,2.62,-1.74369035880378
25,5,28,2.64,-2.20579656554053
25,5,28,2.66,-2.88003249144721
25,5,28,2.68,-3.82551417095236
25,5,28,2.7,-4.92306643783675
25,5,28,2.72,-5.53294936572983
25,5,28,2.74,-4.9921863319047
25,5,28,2.76,-3.84872010245533
25,5,28,2.78,-2.8359377613994
25,5,28,2.8,-2.12316157265581
25.5,0,28,1.8,-0.197507949186118
25.5,0,28,1.82,-0.202791713559355
25.5,0,28,1.84,-0.208234214862973
25.5,0,28,1.86,-0.213847435455951
25.5,0,28,1.88,-0.219644417428683
25.5,0,28,1.9,-0.225639413960879
25.5,0,28,1.92,-0.231848070933787
25.5,0,28,1.94,-0.238287645097748
25.5,0,28,1.96,-0.244977266598901
25.5,0,28,1.98,-0.251938255582765
25.5,0,28,2,-0.259194505044469
25.5,0,28,2.02,-0.266772945257493
25.5,0,28,2.04,-0.274704109217408
25.5,0,28,2.06,-0.283022823902421
25.5,0,28,2.08,-0.291769059217613
25.5,0,28,2.1,-0.300988975864371
25.5,0,28,2.12,-0.310736225917146
25.5,0,28,2.14,-0.321073576809032
25.5,0,28,2.16,-0.332074952461436
25.5,0,28,2.18,-0.343828016951511
25.5,0,28,2.2,-0.356437470064977
25.5,0,28,2.22,-0.370029285764146
25.5,0,28,2.24,-0.384756212152801
25.5,0,28,2.26,-0.400804977303018
25.5,0,28,2.28,-0.418405828361831
25.5,0,28,2.3,-0.437845301432028
25.5,0,28,2.32,-0.459483524062021
25.5,0,28,2.34,-0.483777967038952
25.5,0,28,2.36,-0.511316512811216
25.5,0,28,2.38,-0.54286420379855
25.5,0,28,2.4,-0.579430432286554
25.5,0,28,2.42,-0.622367255421599
25.5,0,28,2.44,-0.673516064167841
25.5,0,28,2.46,-0.735430989048147
25.5,0,28,2.48,-0.811726824554978
25.5,0,28,2.5,-0.907633615034664
25.5,0,28,2.52,-1.03090168372049
25.5,0,28,2.54,-1.19331138966574
25.5,0,28,2.56,-1.41323343996047
25.5,0,28,2.58,-1.71997613989406
25.5,0,28,2.6,-2.16087236974774
25.5,0,28,2.62,-2.8108862100451
25.5,0,28,2.64,-3.77488427987614
25.5,0,28,2.66,-5.12309106958961
25.5,0,28,2.68,-6.54577359826358
25.5,0,28,2.7,-6.86087873989785
25.5,0,28,2.72,-5.64232170964823
25.5,0,28,2.74,-4.14231027704182
25.5,0,28,2.76,-3.01295067451004
25.5,0,28,2.78,-2.25835349535637
25.5,0,28,2.8,-1.76189631290934
25.5,1,28,1.8,-0.197507949186118
25.5,1,28,1.82,-0.202791713559355
25.5,1,28,1.84,-0.208234214862973
25.5,1,28,1.86,-0.213847435455951
25.5,1,28,1.88,-0.219644417428683
25.5,1,28,1.9,-0.225639413960879
25.5,1,28,1.92,-0.231848070933787
25.5,1,28,1.94,-0.238287645097748
25.5,1,28,1.96,-0.244977266598901
25.5,1,28,1.98,-0.251938255582765
25.5,1,28,2,-0.259194505044469
25.5,1,28,2.02,-0.266772945257493
25.5,1,28,2.04,-0.274704109217408
25.5,1,28,2.06,-0.283022823902421
25.5,1,28,2.08,-0.291769059217613
25.5,1,28,2.1,-0.300988975864371
25.5,1,28,2.12,-0.310736225917146
25.5,1,28,2.14,-0.321073576809032
25.5,1,28,2.16,-0.332074952461436
25.5,1,28,2.18,-0.343828016951511
25.5,1,28,2.2,-0.356437470064977
25.5,1,28,2.22,-0.370029285764146
25.5,1,28,2.24,-0.384756212152801
25.5,1,28,2.26,-0.400804977303018
25.5,1,28,2.28,-0.418405828361831
25.5,1,28,2.3,-0.437845301432028
25.5,1,28,2.32,-0.459483524062021
25.5,1,28,2.34,-0.483777967038952
25.5,1,28,2.36,-0.511316512811216
25.5,1,28,2.38,-0.54286420379855
25.5,1,28,2.4,-0.579430432286554
25.5,1,28,2.42,-0.622367255421599
25.5,1,28,2.44,-0.673516064167841
25.5,1,28,2.46,-0.735430989048147
25.5,1,28,2.48,-0.811726824554978
25.5,1,28,2.5,-0.907633615034664
25.5,1,28,2.52,-1.03090168372049
25.5,1,28,2.54,-1.19331138966574
25.5,1,28,2.56,-1.41323343996047
25.5,1,28,2.58,-1.71997613989406
25.5,1,28,2.6,-2.16087236974774
25.5,1,28,2.62,-2.8108862100451
25.5,1,28,2.64,-3.77488427987614
25.5,1,28,2.66,-5.12309106958961
25.5,1,28,2.68,-6.54577359826358
25.5,1,28,2.7,-6.86087873989785
25.5,1,28,2.72,-5.64232170964823
25.5,1,28,2.74,-4.14231027704182
25.5,1,28,2.76,-3.01295067451004
25.5,1,28,2.78,-2.25835349535637
25.5,1,28,2.8,-1.76189631290934
25.5,2,28,1.8,-0.197507949186118
25.5,2,28,1.82,-0.202791713559355
25.5,2,28,1.84,-0.208234214862973
25.5,2,28,1.86,-0.213847435455951
25.5,2,28,1.88,-0.219644417428683
25.5,2,28,1.9,-0.225639413960879
25.5,2,28,1.92,-0.231848070933787
25.5,2,28,1.94,-0.238287645097748
25.5,2,28,1.96,-0.244977266598901
25.5,2,28,1.98,-0.251938255582765
25.5,2,28,2,-0.259194505044469
25.5,2,28,2.02,-0.266772945257493
25.5,2,28,2.04,-0.274704109217408
25.5,2,28,2.06,-0.283022823902421
25.5,2,28,2.08,-0.291769059217613
25.5,2,28,2.1,-0.300988975864371
25.5,2,28,2.12,-0.310736225917146
25.5,2,28,2.14,-0.321073576809032
25.5,2,28,2.16,-0.332074952461436
25.5,2,28,2.18,-0.343828016951511
25.5,2,28,2.2,-0.356437470064977
25.5,2,28,2.22,-0.370029285764146
25.5,2,28,2.24,-0.384756212152801
25.5,2,28,2.26,-0.400804977303018
25.5,2,28,2.28,-0.418405828361831
25.5,2,28,2.3,-0.437845301432028
25.5,2,28,2.32,-0.459483524062021
25.5,2,28,2.34,-0.483777967038952
25.5,2,28,2.36,-0.511316512811216
25.5,2,28,2.38,-0.54286420379855
25.5,2,28,2.4,-0.579430432286554
25.5,2,28,2.42,-0.622367255421599
25.5,2,28,2.44,-0.673516064167841
25.5,2,28,2.46,-0.735430989048147
25.5,2,28,2.48,-0.811726824554978
25.5,2,28,2.5,-0.907633615034664
25.5,2,28,2.52,-1.03090168372049
25.5,2,28,2.54,-1.19331138966574
25.5,2,28,2.56,-1.41323343996047
25.5,2,28,2.58,-1.71997613989406
25.5,2,28,2.6,-2.16087236974774
25.5,2,28,2.62,-2.8108862100451
25.5,2,28,2.64,-3.77488427987614
25.5,2,28,2.66,-5.12309106958961
25.5,2,28,2.68,-6.54577359826358
25.5,2,28,2.7,-6.86087873989785
25.5,2,28,2.72,-5.64232170964823
25.5,2,28,2.74,-4.14231027704182
25.5,2,28,2.76,-3.01295067451004
25.5,2,28,2.78,-2.25835349535637
25.5,2,28,2.8,-1.76189631290934
25.5,3,28,1.8,-0.197507949186118
25.5,3,28,1.82,-0.202791713559355
25.5,3,28,1.84,-0.208234214862973
25.5,3,28,1.86,-0.213847435455951
25.5,3,28,1.88,-0.219644417428683
25.5,3,28,1.9,-0.225639413960879
25.5,3,28,1.92,-0.231848070933787
25.5,3,28,1.94,-0.238287645097748
25.5,3,28,1.96,-0.244977266598901
25.5,3,28,1.98,-0.251938255582765
25.5,3,28,2,-0.259194505044469
25.5,3,28,2.02,-0.266772945257493
25.5,3,28,2.04,-0.274704109217408
25.5,3,28,2.06,-0.283022823902421
25.5,3,28,2.08,-0.291769059217613
25.5,3,28,2.1,-0.300988975864371
25.5,3,28,2.12,-0.310736225917146
25.5,3,28,2.14,-0.321073576809032
25.5,3,28,2.16,-0.332074952461436
25.5,3,28,2.18,-0.343828016951511
25.5,3,28,2.2,-0.356437470064977
25.5,3,28,2.22,-0.370029285764146
25.5,3,28,2.24,-0.384756212152801
25.5,3,28,2.26,-0.400804977303018
25.5,3,28,2.28,-0.418405828361831
25.5,3,28,2.3,-0.437845301432028
25.5,3,28,2.32,-0.459483524062021
25.5,3,28,2.34,-0.483777967038952
25.5,3,28,2.36,-0.511316512811216
25.5,3,28,2.38,-0.54286420379855
25.5,3,28,2.4,-0.579430432286554
25.5,3,28,2.42,-0.622367255421599
25.5,3,28,2.44,-0.673516064167841
25.5,3,28,2.46,-0.735430989048147
25.5,3,28,2.48,-0.811726824554978
25.5,3,28,2.5,-0.907633615034664
25.5,3,28,2.52,-1.03090168372049
25.5,3,28,2.54,-1.19331138966574
25.5,3,28,2.56,-1.41323343996047
25.5,3,28,2.58,-1.71997613989406
25.5,3,28,2.6,-2.16087236974774
25.5,3,28,2.62,-2.8108862100451
25.5,3,28,2.64,-3.77488427987614
25.5,3,28,2.66,-5.12309106958961
25.5,3,28,2.68,-6.54577359826358
25.5,3,28,2.7,-6.86087873989785
25.5,3,28,2.72,-5.64232170964823
25.5,3,28,2.74,-4.14231027704182
25.5,3,28,2.76,-3.01295067451004
25.5,3,28,2.78,-2.25835349535637
25.5,3,28,2.8,-1.76189631290934
25.5,4,28,1.8,-0.197507949186118
25.5,4,28,1.82,-0.202791713559355
25.5,4,28,1.84,-0.208234214862973
25.5,4,28,1.86,-0.213847435455951
25.5,4,28,1.88,-0.219644417428683
25.5,4,28,1.9,-0.225639413960879
25.5,4,28,1.92,-0.231848070933787
25.5,4,28,1.94,-0.238287645097748
25.5,4,28,1.96,-0.244977266598901
25.5,4,28,1.98,-0.251938255582765
25.5,4,28,2,-0.259194505044469
25.5,4,28,2.02,-0.266772945257493
25.5,4,28,2.04,-0.274704109217408
25.5,4,28,2.06,-0.283022823902421
25.5,4,28,2.08,-0.291769059217613
25.5,4,28,2.1,-0.300988975864371
25.5,4,28,2.12,-0.310736225917146
25.5,4,28,2.14,-0.321073576809032
25.5,4,28,2.16,-0.332074952461436
25.5,4,28,2.18,-0.343828016951511
25.5,4,28,2.2,-0.356437470064977
25.5,4,28,2.22,-0.370029285764146
25.5,4,28,2.24,-0.384756212152801
25.5,4,28,2.26,-0.400804977303018
25.5,4,28,2.28,-0.418405828361831
25.5,4,28,2.3,-0.437845301432028
25.5,4,28,2.32,-0.459483524062021
25.5,4,28,2.34,-0.483777967038952
25.5,4,28,2.36,-0.511316512811216
25.5,4,28,2.38,-0.54286420379855
25.5,4,28,2.4,-0.579430432286554
25.5,4,28,2.42,-0.622367255421599
25.5,4,28,2.44,-0.673516064167841
25.5,4,28,2.46,-0.735430989048147
25.5,4,28,2.48,-0.811726824554978
25.5,4,28,2.5,-0.907633615034664
25.5,4,28,2.52,-1.03090168372049
25.5,4,28,2.54,-1.19331138966574
25.5,4,28,2.56,-1.41323343996047
25.5,4,28,2.58,-1.71997613989406
25.5,4,28,2.6,-2.16087236974774
25.5,4,28,2.62,-2.8108862100451
25.5,4,28,2.64,-3.77488427987614
25.5,4,28,2.66,-5.12309106958961
25.5,4,28,2.68,-6.54577359826358
25.5,4,28,2.7,-6.86087873989785
25.5,4,28,2.72,-5.64232170964823
25.5,4,28,2.74,-4.14231027704182
25.5,4,28,2.76,-3.01295067451004
25.5,4,28,2.78,-2.25835349535637
25.5,4,28,2.8,-1.76189631290934
25.5,5,28,1.8,-0.197507949186118
25.5,5,28,1.82,-0.202791713559355
25.5,5,28,1.84,-0.208234214862973
25.5,5,28,1.86,-0.213847435455951
25.5,5,28,1.88,-0.219644417428683
25.5,5,28,1.9,-0.225639413960879
25.5,5,28,1.92,-0.231848070933787
25.5,5,28,1.94,-0.238287645097748
25.5,5,28,1.96,-0.244977266598901
25.5,5,28,1.98,-0.251938255582765
25.5,5,28,2,-0.259194505044469
25.5,5,28,2.02,-0.266772945257493
25.5,5,28,2.04,-0.274704109217408
25.5,5,28,2.06,-0.283022823902421
25.5,5,28,2.08,-0.291769059217613
25.5,5,28,2.1,-0.300988975864371
25.5,5,28,2.12,-0.310736225917146
25.5,5,28,2.14,-0.321073576809032
25.5,5,28,2.16,-0.332074952461436
25.5,5,28,2.18,-0.343828016951511
25.5,5,28,2.2,-0.356437470064977
25.5,5,28,2.22,-0.370029285764146
25.5,5,28,2.24,-0.384756212152801
25.5,5,28,2.26,-0.400804977303018
25.5,5,28,2.28,-0.418405828361831
25.5,5,28,2.3,-0.437845301432028
25.5,5,28,2.32,-0.459483524062021
25.5,5,28,2.34,-0.483777967038952
25.5,5,28,2.36,-0.511316512811216
25.5,5,28,2.38,-0.54286420379855
25.5,5,28,2.4,-0.579430432286554
25.5,5,28,2.42,-0.622367255421599
25.5,5,28,2.44,-0.673516064167841
25.5,5,28,2.46,-0.735430989048147
25.5,5,28,2.48,-0.811726824554978
25.5,5,28,2.5,-0.907633615034664
25.5,5,28,2.52,-1.03090168372049
25.5,5,28,2.54,-1.19331138966574
25.5,5,28,2.56,-1.41323343996047
25.5,5,28,2.58,-1.71997613989406
25.5,5,28,2.6,-2.16087236974774
25.5,5,28,2.62,-2.8108862100451
25.5,5,28,2.64,-3.77488427987614
25.5,5,28,2.66,-5.12309106958961
25.5,5,28,2.68,-6.54577359826358
25.5,5,28,2.7,-6.86087873989785
25.5,5,28,2.72,-5.64232170964823
25.5,5,28,2.74,-4.14231027704182
25.5,5,28,2.76,-3.01295067451004
25.5,5,28,2.78,-2.25835349535637
25.5,5,28,2.8,-1.76189631290934
26,0,28,1.8,-0.194252075743342
26,0,28,1.82,-0.199876847834825
26,0,28,1.84,-0.205558681249383
26,0,28,1.86,-0.211329661182725
26,0,28,1.88,-0.217221779778318
26,0,28,1.9,-0.223267127657386
26,0,28,1.92,-0.229498138467566
26,0,28,1.94,-0.235947894432657
26,0,28,1.96,-0.242650503060805
26,0,28,1.98,-0.249641557985558
26,0,28,2,-0.256958700575046
26,0,28,2.02,-0.264642303724425
26,0,28,2.04,-0.272736305524951
26,0,28,2.06,-0.281289228805011
26,0,28,2.08,-0.290355433599836
26,0,28,2.1,-0.299996664464524
26,0,28,2.12,-0.310283974678942
26,0,28,2.14,-0.321300136930721
26,0,28,2.16,-0.333142688101901
26,0,28,2.18,-0.345927808884816
26,0,28,2.2,-0.359795313906479
26,0,28,2.22,-0.374915135101561
26,0,28,2.24,-0.391495835930612
26,0,28,2.26,-0.40979592104925
26,0,28,2.28,-0.430139043596302
26,0,28,2.3,-0.452934721918219
26,0,28,2.32,-0.4787069596008
26,0,28,2.34,-0.508134383673008
26,0,28,2.36,-0.54210745754762
26,0,28,2.38,-0.581811473892216
26,0,28,2.4,-0.628849244285443
26,0,28,2.42,-0.685426214968541
26,0,28,2.44,-0.754635965482029
26,0,28,2.46,-0.840910918442566
26,0,28,2.48,-0.950751389005253
26,0,28,2.5,-1.09393393461386
26,0,28,2.52,-1.28555892409375
26,0,28,2.54,-1.54957168558629
26,0,28,2.56,-1.92478426356981
26,0,28,2.58,-2.47453202348344
26,0,28,2.6,-3.29812867900797
26,0,28,2.62,-4.5211906771682
26,0,28,2.64,-6.13819676690573
26,0,28,2.66,-7.38454008959076
26,0,28,2.68,-6.83706842620607
26,0,28,2.7,-5.1781102428953
26,0,28,2.72,-3.72255318806992
26,0,28,2.74,-2.72403724804564
26,0,28,2.76,-2.07116216112833
26,0,28,2.78,-1.64082932281698
26,0,28,2.8,-1.35024620257469
26,1,28,1.8,-0.194252075743342
26,1,28,1.82,-0.199876847834825
26,1,28,1.84,-0.205558681249383
26,1,28,1.86,-0.211329661182725
26,1,28,1.88,-0.217221779778318
26,1,28,1.9,-0.223267127657386
26,1,28,1.92,-0.229498138467566
26,1,28,1.94,-0.235947894432657
26,1,28,1.96,-0.242650503060805
26,1,28,1.98,-0.249641557985558
26,1,28,2,-0.256958700575046
26,1,28,2.02,-0.264642303724425
26,1,28,2.04,-0.272736305524951
26,1,28,2.06,-0.281289228805011
26,1,28,2.08,-0.290355433599836
26,1,28,2.1,-0.299996664464524
26,1,28,2.12,-0.310283974678942
26,1,28,2.14,-0.321300136930721
26,1,28,2.16,-0.333142688101901
26,1,28,2.18,-0.345927808884816
26,1,28,2.2,-0.359795313906479
26,1,28,2.22,-0.374915135101561
26,1,28,2.24,-0.391495835930612
26,1,28,2.26,-0.40979592104925
26,1,28,2.28,-0.430139043596302
26,1,28,2.3,-0.452934721918219
26,1,28,2.32,-0.4787069596008
26,1,28,2.34,-0.508134383673008
26,1,28,2.36,-0.54210745754762
26,1,28,2.38,-0.581811473892216
26,1,28,2.4,-0.628849244285443
26,1,28,2.42,-0.685426214968541
26,1,28,2.44,-0.754635965482029
26,1,28,2.46,-0.840910918442566
26,1,28,2.48,-0.950751389005253
26,1,28,2.5,-1.09393393461386
26,1,28,2.52,-1.28555892409375
26,1,28,2.54,-1.54957168558629
26,1,28,2.56,-1.92478426356981
26,1,28,2.58,-2.47453202348344
